STRUCTURE,STRUCTURE_ID,freq: Time frequency,landuse: Land use,unit: Unit of measure,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,AT: Austria,2023,82519,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,BE: Belgium,2023,30452,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,CH: Switzerland,2023,39860,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,CZ: Czechia,2023,77212,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,DE: Germany,2023,353296,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,DK: Denmark,2023,41987,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,ES: Spain,2023,502654,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,FI: Finland,2023,304316,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,FR: France,2023,633886,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,HR: Croatia,2023,55896,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,HU: Hungary,2023,91248,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,IT: Italy,2023,297825,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,LT: Lithuania,2023,62643,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,LV: Latvia,2023,63290,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,NL: Netherlands,2023,34188,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,NO: Norway,2023,364267,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,PL: Poland,2023,307236,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,SE: Sweden,2023,407300,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,SI: Slovenia,2023,20145,,
dataflow,ESTAT:REG_AREA3(1.0),A: Annual,L0008: Land area - total,KM2: Square kilometre,UK: United Kingdom,2023,242751,,
