Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Belgium,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51658.23829,50822.25185,54690.09427
Switzerland,59011.03246,64989.15533,74175.19279,71568.31239,76531.37282,90476.75897,85836.20768,87304.33058,88724.99107,83806.4476,82153.07454,82254.37705,85217.36915,84121.93103,85897.78433,93664.77367,94394.51068,100631.8028
Czechia,15259.07882,18452.65328,22774.70451,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.05682
Germany,36980.33499,42350.92172,46386.32959,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,53940.40734
Denmark,52119.1788,58631.65664,64616.66576,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
Spain,28421.68653,32652.01559,35603.24833,32279.82085,30658.74223,31824.62191,28456.44382,29228.84656,29707.76551,25982.44162,26755.60611,28381.34256,30602.42129,29786.52457,27233.94265,30799.47759,30270.2687,33509.0128
Finland,41214.01878,48473.02401,53769.47262,47478.34953,46506.2919,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50440.56022,52821.51143
France,36431.56589,41486.19078,45464.81814,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
Croatia,11502.75312,13757.60565,15889.43471,14475.96329,13731.28652,14694.99932,13508.6837,14136.39677,14187.96945,12285.30326,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628
Hungary,11478.48916,13934.60546,15762.63225,13051.18318,13189.84339,14211.46056,12950.15945,13739.46202,14352.50188,12782.94126,13215.86053,14736.16682,16605.05705,17012.85986,16386.93088,19030.62813,18483.63669,22312.17903
Italy,33537.1287,37826.17546,40828.57956,37099.6134,35856.86255,38432.37428,34854.39494,35701.6746,36028.3494,30639.88298,31391.56929,32844.11566,34904.10819,33812.78872,32091.48666,36852.54254,35653.90421,39065.42444
Lithuania,9210.101182,12295.12128,14955.53455,11854.37111,11829.12261,14261.84338,14288.18535,15636.52526,16446.16472,14269.80399,14934.27028,16800.15102,19247.23154,19608.79439,20428.64782,23870.45949,25085.78406,27786.00578
Latvia,9211.737447,13370.97895,15677.60809,11996.03227,11188.41917,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20261.88878,20227.23074,22675.57863
Netherlands,45123.54324,52100.79963,58246.70269,53172.02616,51305.73385,54701.7728,50473.9442,52602.28605,53457.22349,45793.81354,46808.52915,49513.68173,53955.077,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Norway,74434.49968,85502.26771,97503.54078,80347.57007,88163.20859,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,93072.89251,109269.5206,87497.32893
Poland,9068.855283,11272.52937,14048.56047,11556.30269,12567.73177,13867.66694,13087.42094,13621.90238,14262.28419,12637.52203,12464.0121,13913.34152,15658.21059,15874.52205,16150.9291,18635.50888,18891.21353,22145.26431
Sweden,46531.60011,53568.56455,55817.43927,46707.86732,52542.82741,60379.77482,57749.82513,60844.27671,59583.714,51197.95293,51820.39725,53300.85873,54181.90698,51773.04646,52653.75659,61174.96802,55296.93715,55567.08901
Slovenia,19563.00506,23725.1596,27461.97642,24501.78973,23329.84177,24940.62848,22442.14179,23236.96553,24013.06821,20697.27485,21447.83778,23303.07771,25888.04811,25814.16872,25392.06511,29187.36938,28373.83823,32610.11092
United Kingdom,44512.45903,50397.6855,47396.12021,38744.13169,39598.95712,42109.64188,42490.14655,43419.03526,47426.62098,44983.88552,40988.10442,40629.23403,43315.48745,42794.00226,40404.80622,46926.47574,46062.99141,49200.81015
