STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,accident,Accident,victim,Type of victim,pers_cat,Category of persons,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2006,,46,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2007,,52,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2008,,39,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2009,,34,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2010,,30,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2011,,35,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2012,,33,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2013,,26,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2014,,25,,,,,
dataflow,ESTAT:TRAN_SF_RAILVI(1.0),Rail accidents victims by type of accident and category of persons involved,A,Annual,NR,Number,TOTAL,Total,KIL,Killed,TOTAL,Total,AT,Austria,2015,,35,,,,,
