STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,vehicle,Vehicles,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,1999,,1079,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2000,,976,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2001,,958,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2002,,956,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2003,,931,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2004,,878,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2005,,768,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2006,,730,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2007,,691,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2008,,679,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2009,,633,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2010,,552,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2011,,523,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2012,,531,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2013,,455,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2014,,430,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2015,,479,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2016,,432,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2017,,414,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2018,,409,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2019,,416,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2020,,344,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2021,,362,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2022,,370,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,AT,Austria,2023,,402,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,1999,,1397,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2000,,1470,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2001,,1486,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2002,,1306,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2003,,1213,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2004,,1162,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2005,,1089,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2006,,1069,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2007,,1071,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2008,,944,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2009,,944,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2010,,850,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2011,,884,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2012,,827,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2013,,764,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2014,,745,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2015,,762,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2016,,670,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2017,,609,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2018,,604,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2019,,646,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2020,,499,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2021,,516,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2022,,540,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BE,Belgium,2023,,501,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,1999,,1047,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2000,,1012,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2001,,1011,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2002,,959,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2003,,960,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2004,,943,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2005,,957,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2006,,1043,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2007,,1006,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2008,,1061,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2009,,901,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2010,,776,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2011,,656,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2012,,601,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2013,,601,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2014,,661,,,,,
dataflow,ESTAT:TRAN_SF_ROADVE(1.0),Persons killed in road accidents by type of vehicle,A,Annual,NR,Number,TOTAL,Total,BG,Bulgaria,2015,,708,,,,,
