STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,vehicle,Vehicles,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1990,,55678,,b,break in time series,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1991,,57392,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1992,,58957,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1993,,59783,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1994,,61803,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1995,,62157,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1996,,63073,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1997,,63865,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1998,,64863,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,1999,,66112,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2000,,66665,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2001,,67100,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2002,,67957,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2003,,68940,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2004,,69604,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2005,,70554,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2006,,70888,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2007,,72023,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2012,,74153,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2013,,74837,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2014,,76594,,,,,
dataflow,ESTAT:ROAD_PA_MOV(1.0),National passenger road transport  performance  by type of vehicles registered in the reporting country,A,Annual,MIO_PKM,Millions of passenger-kilometres,CAR,Passenger cars,AT,Austria,2015,,78347,,,,,
