Dist(km),Rail (hrs),Flight (hrs),Avg rail speed (km/h)
81.1, 0.90 ,3.35,179.6
151.7, 1.39 ,3.19,178.0
96.2, 1.44 ,3.22,162.0
175.9, 1.48 ,3.20,201.6
120.0, 1.52 ,3.15,119.4
111.0, 1.81 ,3.29,131.9
109.0, 1.63 ,3.09,123.0
182.9, 1.56 ,2.99,180.9
150.5, 1.38 ,2.80,169.6
132.9, 1.59 ,3.00,149.9
234.0, 1.66 ,2.99,227.0
265.8, 1.75 ,3.00,228.9
153.8, 2.10 ,3.30,136.9
308.9, 1.93 ,3.09,251.7
133.7, 1.91 ,3.00,123.3
391.9, 2.28 ,3.33,223.1
181.5, 1.78 ,2.79,153.5
150.6, 2.05 ,3.05,113.6
164.6, 2.07 ,3.06,148.2
180.9, 2.48 ,3.45,107.7
134.5, 2.06 ,3.02,119.1
303.1, 2.00 ,2.95,258.9
150.6, 1.93 ,2.84,125.2
375.4, 3.00 ,3.79,195.9
131.9, 2.38 ,3.16,101.2
306.0, 2.39 ,3.17,245.4
301.4, 2.43 ,3.20,178.4
342.2, 2.42 ,3.18,199.2
497.8, 2.63 ,3.38,274.2
261.5, 2.49 ,3.16,216.4
148.7, 2.42 ,3.09,110.3
200.1, 2.25 ,2.91,150.8
147.7, 2.23 ,2.89,103.6
167.6, 2.69 ,3.31,120.2
171.7, 2.20 ,2.80,117.0
360.1, 2.65 ,3.18,195.7
508.2, 2.92 ,3.43,260.5
188.2, 2.55 ,3.04,146.9
287.7, 2.54 ,3.01,171.4
190.2, 2.52 ,2.98,143.8
406.0, 2.77 ,3.24,225.8
421.3, 3.06 ,3.50,190.9
187.6, 2.94 ,3.36,124.0
379.0, 2.70 ,3.12,215.7
293.1, 2.85 ,3.26,197.7
262.1, 2.53 ,2.94,163.0
187.0, 2.36 ,2.77,116.8
181.2, 2.65 ,3.01,132.8
287.4, 3.17 ,3.51,134.3
243.5, 2.64 ,2.97,126.2
254.0, 2.64 ,2.93,133.2
202.7, 2.94 ,3.23,119.3
172.6, 2.53 ,2.80,105.6
258.6, 2.71 ,2.97,149.4
366.1, 3.74 ,3.96,175.4
176.4, 2.91 ,3.11,106.2
295.3, 3.18 ,3.36,177.9
203.1, 3.33 ,3.51,103.2
181.3, 2.60 ,2.76,114.3
212.4, 3.03 ,3.16,109.2
384.6, 3.54 ,3.66,190.6
485.8, 3.31 ,3.42,257.0
219.1, 2.89 ,2.97,125.3
193.4, 2.91 ,2.98,104.2
220.8, 3.33 ,3.38,101.5
197.3, 2.98 ,3.01,116.9
158.0, 3.22 ,3.23,87.9
394.3, 3.55 ,3.56,191.2
162.8, 2.92 ,2.88,104.6
408.0, 3.71 ,3.65,160.9
197.6, 3.21 ,3.10,159.7
394.6, 3.32 ,3.17,156.6
196.1, 2.92 ,2.76,103.5
412.0, 3.91 ,3.73,176.3
334.6, 3.53 ,3.35,166.7
400.3, 3.71 ,3.53,172.1
226.6, 3.36 ,3.16,97.5
198.2, 3.24 ,3.03,120.5
174.8, 3.31 ,3.10,92.3
304.8, 3.37 ,3.14,146.7
279.8, 3.08 ,2.84,113.3
293.4, 3.30 ,3.05,142.3
316.5, 3.24 ,2.99,140.1
193.5, 3.64 ,3.38,115.3
332.0, 3.78 ,3.52,120.3
430.3, 3.72 ,3.44,163.0
335.4, 3.63 ,3.35,124.2
143.7, 2.89 ,2.61,87.8
305.4, 3.53 ,3.24,127.6
191.3, 3.17 ,2.85,109.4
303.3, 3.50 ,3.17,162.6
154.1, 3.29 ,2.95,112.2
304.3, 3.72 ,3.37,126.7
273.2, 3.23 ,2.89,131.0
220.1, 3.59 ,3.25,105.2
447.2, 4.13 ,3.78,179.2
177.4, 3.25 ,2.88,94.9
360.6, 3.55 ,3.17,168.1
210.5, 3.64 ,3.25,113.3
287.2, 3.27 ,2.85,119.3
356.7, 3.53 ,3.10,190.5
373.9, 4.28 ,3.83,171.9
320.4, 3.40 ,2.91,154.3
172.6, 3.48 ,2.96,98.4
481.4, 4.23 ,3.70,158.9
319.9, 3.67 ,3.11,124.8
426.9, 4.01 ,3.44,170.3
213.1, 3.61 ,3.03,97.3
322.4, 3.78 ,3.19,127.8
302.3, 3.55 ,2.96,115.7
225.0, 3.48 ,2.85,111.5
414.3, 4.46 ,3.81,165.4
478.7, 4.12 ,3.46,162.6
444.4, 4.05 ,3.33,160.5
397.6, 3.92 ,3.19,154.8
358.7, 4.04 ,3.29,125.6
342.8, 3.65 ,2.89,134.1
404.7, 4.66 ,3.89,159.7
375.3, 4.08 ,3.31,144.0
389.9, 4.47 ,3.69,154.6
208.5, 3.91 ,3.11,105.8
420.6, 4.36 ,3.51,170.0
421.1, 4.47 ,3.61,162.1
328.5, 3.82 ,2.94,138.6
188.3, 3.95 ,3.07,105.3
465.5, 4.43 ,3.54,147.0
414.6, 4.16 ,3.25,169.0
383.1, 4.06 ,3.10,145.9
337.5, 4.19 ,3.22,116.7
422.4, 4.21 ,3.23,138.4
341.2, 4.15 ,3.16,123.2
345.1, 4.23 ,3.22,118.1
303.6, 3.87 ,2.85,133.0
